current_run,Pedido,ordinal_entered,Cantidad Pedida,Distancia,Vehiculo Asignado,Usa Bomba,Inicio Carga,Inicio Viaje,Inicio Descarga,Inicio Vuelta,Llegada a Planta,Inicio Limpieza,Fin Limpieza,
1,4,11,7.00448,5.3397,Camion 8_1,1,0.000555556,0.234038,0.447627,0.681109,0.894697,0.894697,1.1447,
1,11,1,14.384,4.45836,Camion 15_1,0,0.000555556,0.480021,0.658355,1.13782,1.31615,1.31615,1.56615,
1,13,4,9.91048,7.67269,Camion 11_1,0,0.000555556,0.564388,0.871295,1.20164,1.50855,1.50855,1.81615,
1,8,5,8.16591,2.4881,Camion 11_2,0,0.564388,1.038,1.13753,1.40973,1.50925,1.50925,2.06615,
1,16,13,6.0426,7.12715,Camion 8_2,0,0.480021,0.765808,1.05089,1.25231,1.5374,1.5374,2.31615,
1,18,2,12.8307,3.37169,Camion 15_2,0,0.234038,0.907709,1.04258,1.47026,1.60513,1.60513,2.56615,
1,1.1,3,6.10487,12.3707,Camion 8_3,0,0.907709,1.1447,1.63952,1.84302,2.33785,2.33785,2.81615,
1,1.2,3,6.10487,12.3707,Camion 8_1,0,1.1447,1.34819,1.84302,2.04652,2.54134,2.54134,3.06615,
1,17,7,10.9767,9.99949,Camion 11_1,0,1.81615,2.18205,2.58202,2.94792,3.3479,3.3479,3.5979,
1,14,8,11.4908,13.9269,Camion 15_1,0,1.56615,1.94918,2.50626,2.88928,3.44636,3.44636,3.8479,
1,6.1,6,6.15174,6.15587,Camion 8_2,0,2.33785,2.81615,3.06239,3.26745,3.51368,3.51368,4.0979,
1,2,12,9.00354,11.0529,Camion 11_2,0,2.06615,2.36627,2.80839,3.10851,3.55063,3.55063,4.3479,
1,9,9,12.4475,2.55486,Camion 15_2,0,2.56615,2.98107,3.08327,3.49818,3.60038,3.60038,4.5979,
1,6.2,6,6.15174,6.15587,Camion 8_3,0,2.81615,3.02121,3.26745,3.47251,3.71874,3.71874,4.8479,
1,12.1,10,5.55762,5.65274,Camion 8_1,0,3.51368,4.0979,4.32401,4.50926,4.73537,4.73537,5.0979,
1,12.2,10,5.55762,5.65274,Camion 8_2,0,4.0979,4.28315,4.50926,4.69451,4.92062,4.92062,5.3479,
1,7,16,9.45458,13.6596,Camion 11_1,1,3.5979,3.91305,4.45943,4.77458,5.32097,5.32097,5.5979,
1,10,17,9.53528,6.48096,Camion 11_2,0,4.3479,4.66574,4.92498,5.24282,5.50206,5.50206,5.8479,
1,3,18,14.4806,2.82087,Camion 15_2,0,4.5979,5.08058,5.19342,5.67611,5.78894,5.78894,6.0979,
1,5.1,15,6.68062,11.4074,Camion 8_3,0,4.8479,5.0979,5.55419,5.77688,6.23317,6.23317,6.48317,
1,5.2,15,6.68062,11.4074,Camion 8_1,0,5.0979,5.32058,5.77688,5.99957,6.45586,6.45586,6.73317,
1,15,14,12.7284,9.81021,Camion 15_1,1,3.8479,5.32097,5.71338,6.13766,6.53006,6.53006,6.98317,
2,4,7,7.00448,5.3397,Camion 8_1,1,0.000555556,0.234038,0.447627,0.681109,0.894697,0.894697,1.1447,
2,8,4,8.16591,2.4881,Camion 11_2,0,0.534156,1.00777,1.1073,1.37949,1.47902,1.47902,1.72902,
2,16,8,6.0426,7.12715,Camion 8_2,0,0.407547,0.735576,1.02066,1.22208,1.50717,1.50717,1.97902,
2,9.1,5,6.22376,2.55486,Camion 8_3,0,0.894697,1.1447,1.24689,1.45435,1.55654,1.55654,2.22902,
2,2,3,9.00354,11.0529,Camion 11_1,0,0.000555556,0.534156,0.976274,1.27639,1.71851,1.71851,2.47902,
2,9.2,5,6.22376,2.55486,Camion 8_1,0,1.1447,1.35216,1.45435,1.66181,1.764,1.764,2.72902,
